incident_id,source_agency,provider_bucket,incident__source__date_occurred,incident__context__region,incident__context__operator,incident__event__top_event,incident__event__incident_type,incident__event__summary,json_path
SCS2,CSB,anthropic,2024-05-30,"Chattanooga, Tennessee, USA",TS USA/HEF Groupe,Loss of Containment,Molten Salt Eruption/Explosion,"On May 30, 2024, molten sodium hydroxide and sodium nitrate erupted from an oxidizing salt bath when a part being processed exploded at the TS USA facility in Chattanooga, Tennessee. Water was trapped in the hollow part which rapidly expanded upon contacting the molten material resulting in the explosion. One employee was fatally injured. $1.3 million in property damage was reported, and the facility was shut down for approximately eight months.",data/structured/incidents/anthropic/SCS2.json
SM%20128B_Arena_16-JAN-2024_EV2010R,BSEE,anthropic,2024-01-16,Gulf of Mexico - South Marsh Island Block 128,"Arena Offshore, LP",Loss of Containment,Equipment Failure with Fire,"On January 16, 2024, at approximately 0252 hours, the C1 compressor experienced a piston failure at Arena Offshore SM 128 B Facility. The piston rod penetrated the housing, releasing gas that ignited. The night operator discovered the fire, activated the fire alarm and ESD, and alerted personnel. Operators extinguished the fire using a firewater hose and dry chemical extinguishers. Investigation revealed the piston detached from the piston rod due to a loosened nut, causing connecting rod bolts to break and the piston rod to contact the cylinder head. The vibration switch tripped but failed to shut down the compressor due to frozen moisture in the output line caused by 17°F temperatures. No injuries occurred. The compressor is scheduled for rebuild.",data/structured/incidents/anthropic/SM%20128B_Arena_16-JAN-2024_EV2010R.json
SM%20130%2004Feb23%20Redacted%202010,BSEE,anthropic,2023-02-04,Gulf of Mexico - South Marsh Island Block 130,Talos ERT LLC,Fire,Fire during hot work operations,"On February 4, 2023, at approximately 1405 hours, a small fire occurred on the thief hatch of the ABJ-310 Dry Oil Tank during welding and cutting operations to install a PAT-300 Water Injection Pump. Sparks from cutting operations ignited hydrocarbon vapors venting from the thief hatch. Fire-retardant blankets failed to provide adequate protection. The fire was extinguished with no damage to equipment or injuries to personnel. Investigation revealed multiple failures including inadequate gas monitoring, improper lockout/tagout procedures, insufficient fire protection barriers, and failure to implement previously identified mitigations.",data/structured/incidents/anthropic/SM%20130%2004Feb23%20Redacted%202010.json
SM%20130B_Talos_15-DEC-2023_EV2010R,BSEE,anthropic,2023-12-15,Gulf of Mexico - South Marsh Island Block 130,Talos ERT LLC,Loss of Containment,Fire and Explosion from Pipeline Failure,"On December 15, 2023, at approximately 0520 hours, an explosion and fire occurred on the Talos ERT LLC OCS-G02280, South Marsh Island 130 B Facility. A 3-foot section of an 8-inch bi-directional gas pipeline (Segment 5114) containing 1220 psi failed due to severe external corrosion of a flange. The resulting fire reached approximately 80 feet high from below the +10 level to the production deck. The flame lasted 5-7 minutes before gas pressure bled down. There was damage to life saving equipment, wiring, and minor structural damage near the +10 level. No injuries occurred. High winds (28 mph) blew the flame away from the platform, potentially preventing more severe damage. Investigation revealed the flange failed due to severe OD corrosion driven by high chlorine concentrations (12,000 ppm) in an oxygen-containing environment, with inadequate coating maintenance and incomplete mechanical integrity inspections.",data/structured/incidents/anthropic/SM%20130B_Talos_15-DEC-2023_EV2010R.json
SM%20281C_Apahe_09-SEP-2023,BSEE,anthropic,2023-09-09,Gulf of Mexico - South Marsh Island Block 281,Apache Corporation,Loss of Containment,Structural Failure with Gas Release,"On 9 September 2023, during well abandonment operations on Well C-28 at Apache Corporation's SM Block 281C platform, the 13.375-inch casing on adjacent Well C-11 dropped approximately 3 feet due to severe corrosion failure. The drop sheared off the valve for the 13.375-inch casing completely and partially sheared the valve for the 9.625-inch production casing, releasing 704 psi of gas lift pressure into the atmosphere. The incident was caused by complete loss of the 26-inch conductor casing due to corrosion, which exposed the 13.375-inch surface casing to severe corrosion, ultimately causing it to collapse. Platform grating and decking around Well C-11 were damaged. No injuries or pollution were reported. Apache failed to immediately notify BSEE as required by regulations.",data/structured/incidents/anthropic/SM%20281C_Apahe_09-SEP-2023.json
SM130B_Talos_12-MAY-2023,BSEE,anthropic,2023-05-12,Gulf of Mexico - South Marsh Island Block 130,Talos ERT LLC,Loss of Structural Integrity,Structural Damage - Crane Boom Collapse,"On May 12, 2023, at approximately 1605 hours, a crane boom collapse occurred on the Talos ERT LLC OCS-G02280 South Marsh Island 130 B Facility. While attempting to lower a basket of grating weighing approximately 11,000 lbs to the top deck using a four-part load line, the boom cable failed when the grating rack was approximately 6 ft from the top deck and the boom angle was at 76 degrees. The boom collapsed and landed on the top deck, causing approximately $330,000 in damage to the deck and production equipment and $370,000 in crane damage. There were no injuries to personnel. Analysis by Core Lifting determined the boom cable failed due to fatigue from numerous cycles through the bridle sheaves, evidenced by numerous short pieces of wire embedded in the cable with fatigue fractures at both ends. The crane had accumulated 124 hours of run time since the boom cable was installed on May 28, 2021.",data/structured/incidents/anthropic/SM130B_Talos_12-MAY-2023.json
SM130_Talos_25-FEB-2024_EV2010R,BSEE,anthropic,2024-02-25,Gulf of Mexico - South Marsh Island Block 130,Talos ERT LLC,Crane Boom Structural Damage,Equipment Damage - Structural Failure,"On February 25, 2024, at approximately 0930 hours, a crane boom was damaged while attempting to raise the elevation of an I-beam approximately 1-inch on the Talos ERT LLC SM 130 B Facility. After unsuccessful attempts with come along winches, the contract construction crew attached the main line of the crane to the I-beam and applied tension up to 30,000 lbs. The crane boom was damaged at the heel section and a boom lattice after the load rating was exceeded. The crane was at a 55-degree angle with a maximum capacity of 21,500 lbs. There were no injuries and estimated repair cost is $400,000.",data/structured/incidents/anthropic/SM130_Talos_25-FEB-2024_EV2010R.json
SM160_Talos_21-SEP-2024_EV2010R,BSEE,anthropic,2024-09-21,Gulf of America - South Marsh Island Block 160,Talos Third Coast LLC,Loss of Containment - Personal Injury,Personal Injury - Eye Laceration,"On September 21, 2024, at approximately 1630 hours, a contract construction supervisor injured his right eye while familiarizing himself with a banding tool for heliport skirting repairs on the SM 160 A Facility. While holding the banding material housing with approximately 2 feet of material extended, a band clamp buckle slipped off the end. The banding material sprung forward, knocking off his safety glasses and striking his right eye with its sharp edge, lacerating the cornea. The CCS required evacuation and surgery.",data/structured/incidents/anthropic/SM160_Talos_21-SEP-2024_EV2010R.json
SP%2027%20NuGulf%2018-Jul-2025,BSEE,anthropic,2025-07-18,"Gulf of America, South Pass Block 27","Nugulf Operating, L.L.C.",Vessel Allision with Platform,Collision/Allision,"On 18 July 2025 at 0730 hours, the Motor Vessel Marc C allided with South Pass 27 #5 platform during platform surveying operations for decommissioning. The vessel captain set course to West Delta field approximately 3 minutes after leaving East Bay field without properly clearing all structures. The captain was distracted by computer work and failed to use the electronic navigation chart system, violating company safe navigation policy. The allision caused damage to both the platform structure and the starboard bow of the vessel. No injuries or pollution occurred.",data/structured/incidents/anthropic/SP%2027%20NuGulf%2018-Jul-2025.json
SP%2028%20Whitney%20%2021-Sep-2023,BSEE,anthropic,2023-09-21,Gulf of Mexico - South Pass Area Block 28,"Whitney Oil & Gas, LLC",Loss of Containment,Loss of Well Control with Pollution,"On 21 September 2023 at 0745 hours, production operators discovered an external leak on the production casing (B casing) of Well #98 on South Pass 28 13(V) jacket. Gas and oil were escaping through a hole in the side of the casing, creating a hydrocarbon sheen in Gulf waters. Despite immediately shutting in the well and closing the SCSSV, hydrocarbons continued to escape. Multiple intervention attempts were made over 8 days before a bridge plug was successfully set on 29 September, with the leak stopping on 30 September at 0132 hours. Total spill was estimated at 65.7 gallons of oil. The incident was attributed to equipment failure due to inadequate preventive maintenance and severe corrosion in an extremely harsh shallow saltwater environment.",data/structured/incidents/anthropic/SP%2028%20Whitney%20%2021-Sep-2023.json
SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0,BSEE,anthropic,2025-07-30,"Gulf of America, South Pass Block 49, Lease G02177","W & T Offshore, Inc.",Loss of Containment of Mechanical Energy,Caught Between - Mechanical Energy Release,"On July 30, 2025, during plug and abandonment operations on Well C005 at the South Pass 49 C platform, a Supreme Services crew was laying down a 12-inch mechanical casing cutter into a shipping basket. While guiding the tool, the outermost slip bowl (approximately 250 pounds) unexpectedly separated due to grease lock and slid down the tool. A Supreme operator's left hand was caught between the bowl and tool, resulting in traumatic amputation of one finger and crush injuries to two others, which were later permanently amputated. Investigation revealed that the operator's no hands policy was not effectively communicated or enforced, hands-free tools were not provided, no task-specific risk assessment was conducted, and the hazard of bowl separation was not identified.",data/structured/incidents/anthropic/SP%2049-C%20W%26%20T%20Offshore%2030-Jul-2025_0.json
SP%2062-C%20GOM%20Shelf%20%2003-Nov-2025,BSEE,anthropic,2025-11-03,"Gulf of America, South Pass Block 62",GOM Shelf LLC,Loss of Containment,Gas Release,"On 03 November 2025 at 1205 hours, a BSEE Inspector conducting an annual production inspection on South Pass 62 C platform noticed suspected gas fumes coming from a corroded area of an 8-inch gas vent line. Platform operators confirmed the gas release using a portable gas detector. The gas was leaking from the corroded pipe and blowing under the wet and dry oil tanks. The platform was manually shut in. The gas release was not detected by the platform safety system and did not initiate any alarms. The corroded section of piping had not been identified by API Level 1 surveys or platform operators. No injuries or pollution occurred. The platform remained shut in until repairs were completed on 09 November 2025.",data/structured/incidents/anthropic/SP%2062-C%20GOM%20Shelf%20%2003-Nov-2025.json
SP%2083-A%20Arena%2021-Sept-2023,BSEE,anthropic,2023-09-21,Gulf of Mexico - South Pass Block 83,"Arena Offshore, LP",Dropped Object,Personnel Injury,"On 21 September 2023 at approximately 1505 hours, an injury occurred on South Pass Block 83 Platform A during plug and abandonment operations. A three-person crew was reinstalling a 12-inch PIG launcher cap onto gas pipeline PIG launcher KZZ-602 after pipeline flushing operations. The lever arm assembly that assists in positioning the cap had become damaged during removal, forcing the crew to manually lift the cap. The crew mistakenly believed the cap was securely threaded and lessened their hold, causing it to fall. The sharp edge of the lever arm shaft penetrated the injured person's cut-resistant gloves, causing a laceration to the right hand. The IP was evacuated by helicopter and treated with eleven sutures at an onshore medical facility.",data/structured/incidents/anthropic/SP%2083-A%20Arena%2021-Sept-2023.json
SS%20224_Talos_31-JAN-2023,BSEE,anthropic,2023-01-31,Gulf of Mexico - Ship Shoal Area Block 224,Talos ERT LLC,Loss of Containment - Trapped Pressure Release,Uncontrolled pressure release with equipment ejection,"On January 31, 2023, during temporary abandonment operations of the E-4 well at Ship Shoal 224 E platform, an electric line casing cutter was fired at 120 feet below mud line. Trapped pressure in the annulus between the 10-3/4 inch and 7-5/8 inch casing was released when the casing was cut below the subsea wellhead tieback system. The pressure release ejected the tool string from the well, damaging grating on the cellar and wellbay decks. No injuries occurred. The crew was unaware that the well did not communicate above or below the subsea tieback system, and no wireline pressure control equipment was used because the surface wellhead had been removed in 2007.",data/structured/incidents/anthropic/SS%20224_Talos_31-JAN-2023.json
SS%2080%20W%26T%2007-Mar-2025,BSEE,anthropic,2025-03-07,"Gulf of America, Ship Shoal Block 80","W & T Offshore, Inc.",Loss of Containment,Fire,"On March 7, 2025, at 0815 hours, a flash fire occurred at W&T Offshore's Ship Shoal Block 80 Platform A while attempting to bring Pipeline Pump #2 online. When the electrician opened the start valve to supply fuel gas to the pump's starter, a backfire occurred followed by a flash fire. Investigation revealed an extremely loose fitting on the vent exhaust piping from the fuel gas starter allowed gas to seep out and accumulate. The backfire ignited the accumulated gas, causing a flash fire that injured a mechanic and electrician with burns to their heads and hands. Neither worker was wearing proper PPE (gloves). Wind conditions (25-30 knots from the south) pushed flames into the mechanic positioned on the northern side of the pump, causing more severe injuries. Both were evacuated and treated at burn unit, with the electrician returning to work April 9, 2025.",data/structured/incidents/anthropic/SS%2080%20W%26T%2007-Mar-2025.json
ST%20229%20W%26T%2009-May-2025,BSEE,anthropic,2025-05-09,"Gulf of America, South Timbalier Area Block 229, Lease OCS-G13938","W & T Offshore, Inc.",Loss of Structural Integrity,Crane load block failure with dropped object,"On May 9, 2025, during crane operations to lower a JSA document to a supply vessel at platform ST-229A, a sheave bearing failure in the crane load block caused a catastrophic mechanical failure. An internal debris restriction in the sheave pin's lubrication passage prevented adequate grease from reaching the bearings. One bearing failed, generating excessive rotational force that sheared the anti-rotation dowel pin. This allowed the sheave pin and spiral retainers to rotate freely, causing them to unwind and dislodge. The wire rope (135 ft, 78.3 lbs) fell onto the aft deck of the MV Force, followed by the load block (falling 65 ft, 1,235 lbs). The ejected sheave (32 lbs) was slung upward approximately 100 feet before landing on a grocery box on the vessel deck. A deckhand, standing approximately 20 feet away, sustained a lumbar muscle strain while evading the falling components. All three objects possessed fatal potential energy. The incident was classified as a near-miss and first aid case. The IP was released to full duty but did not return to work. Root cause analysis confirmed inadequate lubrication due to internal obstruction. Contributing factors included failure to follow safe work practice of lowering loads to minimum safe height before swinging over vessels, and inadequate operator awareness of early mechanical distress indicators.",data/structured/incidents/anthropic/ST%20229%20W%26T%2009-May-2025.json
ST23CC_Cantium_29-JAN-2024_EV2010R,BSEE,anthropic,2024-01-29,Gulf of Mexico - South Timbalier Block 23,"Cantium, LLC",Loss of Containment,Fire,"On January 29, 2024 at approximately 1745, a fire occurred on the Glycol Reboiler vent line at Cantium LLC facility South Timbalier Block 23 CC. The facility had shut in due to a Level Safety Low on the Glycol Surge Tank. While operators were pumping glycol into the Surge Vessel, a flame was noticed coming from the Pressure Safety Valve vent line for the Glycol Reboiler when the valve relieved pressure. The fire was extinguished using potable water. Investigation revealed that the packing section was not reinstalled properly in the still column after maintenance in October 2023. Without the packing section, the ability to preheat glycol was removed, allowing entrained gases to be released into the Reboiler, causing the PSV to relieve and ignite.",data/structured/incidents/anthropic/ST23CC_Cantium_29-JAN-2024_EV2010R.json
Status_Change_Summary_ACC_(Reactives_R8)__C-AAA,CSB,anthropic,,United States,Multiple ACC Member Companies,Loss of Containment,Runaway Chemical Reaction,"Following multiple high-consequence incidents involving runaway chemical reactions, including the 1995 Napp Technologies explosion killing five workers and the 1998 Morton International explosion injuring nine, the CSB conducted a comprehensive study of reactive chemical hazard management. The CSB issued recommendations to industry groups including the American Chemistry Council to enhance reactive hazard management programs. ACC responded by revising its Responsible Care Process Safety Code to take an all-hazards approach that comprehensively addresses reactive hazards through hazard identification, evaluation, management of change, inherently safer design, and adequate procedures and training.",data/structured/incidents/anthropic/Status_Change_Summary_ACC_(Reactives_R8)__C-AAA.json
Status_Change_Summary_ACC_(TPC_R4)_C-AAA,CSB,anthropic,2019-11-27,"Port Neches, Texas, USA",TPC Group Port Neches Operations,Loss of Containment,Explosion and Fire,"On November 27, 2019, a dead leg between the Final Fractionator A and a manual isolation valve upstream of an offline pump ruptured at TPC Group Port Neches butadiene unit. Approximately 6,000 gallons of liquid butadiene was released, vaporized, and formed a flammable vapor cloud that ignited causing multiple fires and explosions. The incident resulted in 7 injuries, $603 million in property damage, complete destruction of the butadiene unit, and eventual bankruptcy of TPC Group.",data/structured/incidents/anthropic/Status_Change_Summary_ACC_(TPC_R4)_C-AAA.json
Status_Change_Summary_ACD_(Airgas_R5)_C-AA,CSB,anthropic,2016-08-28,"Cantonment, Florida",Airgas,Loss of Containment,explosion,"On August 28, 2016, a nitrous oxide trailer truck exploded at the Airgas manufacturing facility in Cantonment, Florida, killing one employee and heavily damaging the facility. During initial loading operations, a pump manufactured by ACD LLC heated nitrous oxide above its safe operating limits, initiating a decomposition reaction that propagated from the pump into the trailer truck, causing the explosion. The incident was attributed to inadequate warnings in ACD product literature about nitrous oxide decomposition hazards.",data/structured/incidents/anthropic/Status_Change_Summary_ACD_(Airgas_R5)_C-AA.json
Status_Change_Summary_AFPM_(EM_Torrance_R10)_C-AA,CSB,anthropic,2015-02-18,"Torrance, California",ExxonMobil,Loss of Containment,Explosion,"On February 18, 2015, an explosion occurred in the Electrostatic Precipitator (ESP) of the ExxonMobil Torrance refinery's fluid catalytic cracking (FCC) unit. The incident occurred during preparations for maintenance while the unit was in idle mode. A pressure deviation caused hydrocarbons to backflow through the process and ignite in the ESP, which normally produces sparks during operation.",data/structured/incidents/anthropic/Status_Change_Summary_AFPM_(EM_Torrance_R10)_C-AA.json
Status_Change_Summary_API_(BP_Husky_R5),UNKNOWN,anthropic,2022-09-20,"Oregon, Ohio",BP-Husky Refining LLC,Loss of Containment,Vapor Cloud Fire,"On September 20, 2022, a vapor cloud ignited at the BP-Husky refinery in Oregon, Ohio. The vapor cloud formed when flammable liquid naphtha was intentionally released from a pressurized vessel to the ground in response to an abnormal situation. Two employees were fatally injured. Over 23,000 pounds of naphtha was released during the event, and $597 million in damage was incurred.",data/structured/incidents/anthropic/Status_Change_Summary_API_(BP_Husky_R5).json
Status_Change_Summary_API_(CAPECO_R7)_C-AAA,CSB,anthropic,2009-10-23,"Bayamon, Puerto Rico",Caribbean Petroleum Corporation (CAPECO),Loss of Containment,Tank Overfill with Vapor Cloud Explosion and Fire,"On October 23, 2009, while offloading gasoline from the tanker ship Cape Bruny into the CAPECO onshore tank farm, approximately 200,000 gallons of gasoline overflowed from an aboveground storage tank into a secondary containment dike with an open drain. Gasoline sprayed from the tank's roof vents, aerosolized, and formed a large vapor cloud covering approximately 107 acres. The vapor cloud ignited at the wastewater treatment facility, causing a blast that registered 2.9 on the Richter scale, multiple secondary explosions, and fires that burned for almost 60 hours. The incident resulted in significant damage to 17 of 48 petroleum storage tanks, approximately 300 homes and businesses up to 1.25 miles away, three minor injuries offsite, and petroleum contamination of soil, wetlands, and waterways.",data/structured/incidents/anthropic/Status_Change_Summary_API_(CAPECO_R7)_C-AAA.json
Status_Change_Summary_API_(Enterprise_R1)_C-AA,CSB,anthropic,2016-06-27,"Pascagoula, Mississippi",Enterprise Products,Loss of Containment,Fire and Explosion,"On June 27, 2016, a major loss of containment resulted in the release of methane, ethane, propane, and several other hydrocarbons at the Enterprise Products Pascagoula Gas Plant in Pascagoula, Mississippi. The hydrocarbons ignited, initiating a series of fires and explosions, which ultimately shut down the site for almost six months. Two workers were on the night shift when the incident occurred and were uninjured. The CSB determined that the probable cause of this incident was the failure of a brazed aluminum heat exchanger (BAHX) due to thermal fatigue. The absence of a reliable process to ensure the mechanical integrity of the heat exchanger contributed to the catastrophic failure of the equipment.",data/structured/incidents/anthropic/Status_Change_Summary_API_(Enterprise_R1)_C-AA.json
Status_Change_Summary_API_(ITC_R6)_O-ARAR,CSB,anthropic,2019-03-17,"Deer Park, Texas",Intercontinental Terminals Company (ITC),Loss of Containment,Tank Fire,"On March 17, 2019, a loss of containment and fire occurred at the ITC terminal facility in Deer Park, Texas, resulting from seal failure of a pump operating with Tank 80-8, an 80,000 barrel above ground atmospheric storage tank containing naphtha and butane mixture. The fire burned for three days, spreading to all fifteen tanks in the containment area, destroying them all. On March 22, 2019, the containment wall partially collapsed, releasing approximately 500,000 barrels (21 million gallons) of petroleum products, firefighting foam, and water into Tucker Bayou and the Houston Ship Channel. No injuries occurred.",data/structured/incidents/anthropic/Status_Change_Summary_API_(ITC_R6)_O-ARAR.json
Status_Change_Summary_API_(LYB_R5)_C-AAA,CSB,anthropic,2021-07-27,"La Porte, Texas, USA",LyondellBasell,Loss of Containment,Chemical Release,"On July 27, 2021, three contract workers at the LyondellBasell La Porte Complex were removing an actuator from a plug valve in the acetic acid unit. While attempting to remove the actuator, pressure retaining components of the valve were inadvertently removed, causing the ejection of the plug from the valve body and a release of approximately 164,000 pounds of acetic acid mixture. All three contract workers were sprayed with acetic acid, fatally injuring two workers and seriously injuring the third. An additional twenty-nine personnel required offsite medical treatment.",data/structured/incidents/anthropic/Status_Change_Summary_API_(LYB_R5)_C-AAA.json
Status_Change_Summary_API_(Macondo_R3)_C-AAA,CSB,anthropic,2010-04-20,"Gulf of Mexico, Louisiana (approximately 50 miles offshore)",unknown,Loss of Well Control - Blowout,Blowout with fire and explosion,"On April 20, 2010, a blowout occurred at the Macondo oil well approximately 50 miles off the coast of Louisiana during temporary well-abandonment activities on the Deepwater Horizon drilling rig. Control of the well was lost, resulting in uncontrolled release of oil and gas. The hydrocarbons found an ignition source on the rig, resulting in explosions and fire that led to 11 deaths, 17 serious physical injuries, evacuation of 115 individuals, sinking of the Deepwater Horizon, and massive marine and coastal damage from approximately 4 million barrels of released hydrocarbons.",data/structured/incidents/anthropic/Status_Change_Summary_API_(Macondo_R3)_C-AAA.json
Status_Change_Summary_API_(Marathon_R8),UNKNOWN,anthropic,2023-11-19,"Martinez, California",Marathon Martinez Renewables,Loss of Containment,Fire,"A fire erupted when a metal tube within a fired heater ruptured during the initial startup of a renewable diesel hydroprocessing unit. A lack of process flow due to valve misalignment combined with afterburning due to poor combustion conditions caused overheating of the tubes leading to the rupture and fire. Over 200,000 pounds of renewable diesel and 2,200 pounds of hydrogen were released. One employee received third-degree burns over 80 percent of his body and remained in critical condition for over six months. The incident resulted in approximately $350 million in damage.",data/structured/incidents/anthropic/Status_Change_Summary_API_(Marathon_R8).json
Status_Change_Summary_API_(Motiva_R10)_C-AA,CSB,anthropic,2001-07-17,"Delaware City, Delaware, USA",Motiva Enterprises,Loss of Containment,Tank Explosion and Chemical Release,"On July 17, 2001, an explosion occurred at the Motiva Enterprises refinery in Delaware City, Delaware when a spark from a contractor's cutting torch ignited flammable vapors emitted from a corroded sulfuric acid storage tank. The incident resulted in one fatality, eight injuries, and the release of 264,000 gallons of spent sulfuric acid. Approximately 99,000 gallons reached the Delaware River, causing significant environmental damage and killing aquatic life. Investigation revealed that the tank had not been inspected internally or externally for seven years and had significant corrosion in the shell and holes in the roof.",data/structured/incidents/anthropic/Status_Change_Summary_API_(Motiva_R10)_C-AA.json
Status_Change_Summary_API_(Pryor_Trust_R2)_C-AA,CSB,anthropic,2018-01-22,"Pittsburg County, Oklahoma",unknown,Loss of Well Control,Blowout and Fire,"On January 22, 2018, a blowout and rig fire occurred at Pryor Trust 0718 gas well number 1H-9 in Pittsburg County, Oklahoma, resulting in five worker fatalities. The workers were inside the driller's cabin on the rig floor and died from thermal burn injuries and smoke and soot inhalation. The blowout occurred approximately three-and-a-half hours after removing drill pipe out of the well. The incident was caused by the failure of both the primary barrier (hydrostatic pressure from drilling mud) and the secondary barrier (human detection of influx and activation of the blowout preventer).",data/structured/incidents/anthropic/Status_Change_Summary_API_(Pryor_Trust_R2)_C-AA.json
Status_Change_Summary_API_(Remote_Isolation_R1)1,CSB,anthropic,,United States,Multiple (API member facilities),Loss of Containment,Multiple incidents - systemic review,"The CSB reviewed and investigated numerous incidents where consequences escalated following a loss of containment due to the lack of effective remote isolation equipment. These incidents resulted in serious injuries, fatalities, environmental contamination, and severe damage to facilities. Following the 2019 TPC Group incident in Port Neches, TX, the CSB concluded that improved requirements for remote isolation are necessary and that although guidance has been available for many years, it has not been consistently followed.",data/structured/incidents/anthropic/Status_Change_Summary_API_(Remote_Isolation_R1)1.json
Status_Change_Summary_API_(Wendland_R2)_O-AREAR,CSB,anthropic,2020-01-29,"Texas, USA",unknown,Loss of Well Control,Blowout with Flash Fire,"On January 29, 2020, the Wendland 1-H well experienced a loss of well control that resulted in a blowout during the process of installing a new tubing head as part of a workover operation. Within seconds, the uncontrolled release of oil and gas found an ignition source resulting in a flash fire that fatally injured three workers and seriously injured another. The incident also resulted in property damage estimated to be greater than $1 million.",data/structured/incidents/anthropic/Status_Change_Summary_API_(Wendland_R2)_O-AREAR.json
Status_Change_Summary_API_(YM_R6),CSB,anthropic,2021-04-08,"Columbus, OH",Yenkin-Majestic Paint Corporation,Loss of Containment,Vapor Cloud Explosion and Fire,"On April 8, 2021, a flammable liquid mixture and its vapors became pressurized and released through the seal of a closed manway of an operating kettle at the Yenkin-Majestic OPC Polymers resin plant. The vapor spread throughout the facility, forming a flammable cloud which found an ignition source and exploded resulting in a fire. One employee was fatally injured, eight others were injured including severe burns and limb fractures. The facility was demolished and firefighting water runoff contaminated nearby Alum Creek.",data/structured/incidents/anthropic/Status_Change_Summary_API_(YM_R6).json
Status_Change_Summary_ASME_(Kleen_UR3)_C-AA,CSB,anthropic,2010-02-07,"Middletown, Connecticut, USA",Kleen Energy,Loss of Containment,Explosion,"On February 7, 2010, an explosion occurred during the planned cleaning of new fuel gas piping at Kleen Energy, a combined-cycle natural gas power plant under construction in Middletown, Connecticut. Workers were conducting a 'gas blow' whereby natural gas was forced through piping at high volume and pressure to remove debris. The natural gas and debris were vented into a congested outdoor area where the natural gas accumulated and found an ignition source, resulting in an explosion. The explosion resulted in six fatalities and injured at least 50 other personnel.",data/structured/incidents/anthropic/Status_Change_Summary_ASME_(Kleen_UR3)_C-AA.json
Status_Change_Summary_ASME_(NDK_R1)_C-AAA,CSB,anthropic,2009-12-07,"Belvidere, Illinois, USA","NDK Crystal, Inc.",Loss of Containment - Pressure Vessel Rupture,Pressure vessel rupture with projectiles,"On December 7, 2009, a 50-foot pressure vessel used to manufacture synthetic crystals ruptured due to internal stress corrosion cracking at the NDK Crystal facility in Belvidere, Illinois. The vessel, located in an enclosed building, generated several projectiles when it ruptured that resulted in one fatality and one injury to members of the public, as well as significant property damage to the NDK Crystal facility and an adjacent business. The vessel operated at pressures greater than 10,000 psig and was made with SA-723 Grade 2 steel. The ASME Code sections applicable to the vessel did not include specific limitations of material thickness for heavy pressure vessels.",data/structured/incidents/anthropic/Status_Change_Summary_ASME_(NDK_R1)_C-AAA.json
Status_Change_Summary_AWWA_Freedom_R1_C-AA,CSB,anthropic,2014-01-09,"Charleston, West Virginia, USA","Freedom Industries, Inc.",Loss of Containment,Chemical Release to Environment,"On January 9, 2014, aboveground storage tanks at Freedom Industries in Charleston, West Virginia, leaked approximately 10,000 gallons of Shurflot 944 (a mixture of crude MCHM and polyglycol ethers) through two small holes in the tank floor. The secondary containment dike wall had cracks and holes from disrepair that allowed tank contents to escape and reach the Elk River. The chemicals flowed downstream to the intake of the West Virginia American Water treatment facility, about 1.5 miles away. WVAW issued a Do Not Use order affecting approximately 300,000 residents across nine counties.",data/structured/incidents/anthropic/Status_Change_Summary_AWWA_Freedom_R1_C-AA.json
Status_Change_Summary_Arise_(Loy-Lange_R7)_C-AA,CSB,anthropic,2017-04-03,"St. Louis, Missouri, USA",Loy-Lange Box Company,Loss of Containment,Pressure Vessel Catastrophic Failure - BLEVE,"On April 3, 2017, a pressure vessel (Semi-Closed Receiver) catastrophically failed at Loy-Lange Box Company in St. Louis, Missouri, causing a BLEVE. The bottom head failed due to oxygen pitting corrosion and generalized corrosion that thinned the vessel wall. The explosion fatally injured one Loy-Lange employee and the launched vessel crashed through a nearby building roof, killing three members of the public. The incident resulted from deficiencies in operations and process safety practices that failed to prevent corrosion, an inadequate 2012 repair by Kickham Boiler that left damaged material in place, and acceptance of the non-conforming repair by Arise Inc.'s inspector.",data/structured/incidents/anthropic/Status_Change_Summary_Arise_(Loy-Lange_R7)_C-AA.json
Status_Change_Summary_Arkema_Crosby_(Arkema_R1)_C-AA,CSB,anthropic,2017-08-31,"Crosby, Texas, USA",Arkema Inc.,Loss of Containment,Fire,"On August 31, 2017, following Hurricane Harvey flooding that caused loss of power and refrigeration systems at the Arkema Crosby facility, organic peroxide products stored in a refrigerated trailer decomposed and burned. Twenty-one people sought medical attention from exposure to fumes. Over several days, eight more trailers burned in a second fire and controlled burn, consuming over 350,000 pounds of organic peroxide. More than 200 residents were evacuated for a week.",data/structured/incidents/anthropic/Status_Change_Summary_Arkema_Crosby_(Arkema_R1)_C-AA.json
Status_Change_Summary_Atchison_(MGPI_R5)_O-ARAR,CSB,anthropic,2016-10-21,"Atchison, Kansas","MGPI Processing, Inc.",Loss of Containment,Toxic Chemical Release,"On October 21, 2016, a chemical release occurred at the MGPI Processing, Inc. plant in Atchison, Kansas when a chemical delivery truck owned and operated by Harcros Chemicals, Inc. was inadvertently connected to a tank containing incompatible material. The chemical reaction generated a plume that led to a shelter-in-place order for thousands of residents and at least 120 people seeking medical attention.",data/structured/incidents/anthropic/Status_Change_Summary_Atchison_(MGPI_R5)_O-ARAR.json
